UNITID,AWLEVELC,XCSTOTLT,CSTOTLT,XCSTOTLM,CSTOTLM,XCSTOTLW,CSTOTLW,XCSAIANT,CSAIANT,XCSASIAT,CSASIAT,XCSBKAAT,CSBKAAT,XCSHISPT,CSHISPT,XCSNHPIT,CSNHPIT,XCSWHITT,CSWHITT,XCS2MORT,CS2MORT,XCSUNKNT,CSUNKNT,XCSNRALT,CSNRALT,XCSUND18,CSUND18,XCS18_24,CS18_24,XCS25_39,CS25_39,XCSABV40,CSABV40,XCSUNKN,CSUNKN  
100654,05,"R",507,"R",207,"R",300,"Z",0,"R",4,"R",453,"R",3,"R",1,"R",30,"R",4,"R",5,"R",7,"R",0,"R",431,"R",67,"R",9,"Z",0
100654,07,"R",332,"R",95,"R",237,"R",1,"R",4,"R",268,"R",1,"Z",0,"R",40,"R",1,"R",4,"R",13,"Z",0,"R",93,"R",203,"R",36,"Z",0
100654,09,"R",8,"R",1,"R",7,"Z",0,"Z",0,"R",5,"Z",0,"Z",0,"R",1,"R",1,"Z",0,"R",1,"Z",0,"Z",0,"R",3,"R",5,"Z",0
100663,02,"R",47,"R",8,"R",39,"R",0,"R",2,"R",10,"R",3,"R",0,"R",30,"R",0,"R",2,"R",0,"R",0,"R",30,"R",12,"R",5,"R",0
100663,05,"R",2441,"R",974,"R",1467,"R",5,"R",153,"R",531,"R",84,"R",1,"R",1528,"R",75,"R",15,"R",49,"R",0,"R",1663,"R",651,"R",127,"R",0
100663,07,"R",1974,"R",647,"R",1327,"R",9,"R",80,"R",268,"R",55,"R",3,"R",1300,"R",58,"R",38,"R",163,"R",0,"R",281,"R",1360,"R",333,"R",0
100663,09,"R",549,"R",229,"R",320,"R",1,"R",57,"R",55,"R",17,"R",0,"R",373,"R",11,"R",4,"R",31,"R",0,"R",4,"R",476,"R",69,"R",0
100663,10,"R",180,"R",59,"R",121,"R",0,"R",4,"R",48,"R",5,"R",0,"R",102,"R",5,"R",6,"R",10,"R",0,"R",13,"R",96,"R",71,"R",0
100690,03,"R",25,"R",8,"R",17,"Z",0,"Z",0,"R",20,"Z",0,"Z",0,"R",5,"Z",0,"Z",0,"Z",0,"Z",0,"R",3,"R",14,"R",8,"Z",0
100690,05,"R",40,"R",21,"R",19,"Z",0,"Z",0,"R",18,"Z",0,"Z",0,"R",21,"Z",0,"R",1,"Z",0,"Z",0,"R",6,"R",17,"R",17,"Z",0
100690,07,"R",79,"R",35,"R",44,"Z",0,"R",1,"R",42,"R",2,"R",1,"R",27,"Z",0,"R",6,"Z",0,"Z",0,"Z",0,"R",42,"R",37,"Z",0
100690,09,"R",10,"R",7,"R",3,"Z",0,"Z",0,"R",2,"Z",0,"Z",0,"R",7,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"R",2,"R",8,"Z",0
100706,01,"R",8,"R",2,"R",6,"R",0,"R",0,"R",2,"R",0,"R",0,"R",5,"R",0,"R",1,"R",0,"R",0,"R",5,"R",2,"R",1,"R",0
100706,05,"R",1207,"R",630,"R",577,"R",20,"R",67,"R",123,"R",29,"R",0,"R",869,"R",19,"R",46,"R",34,"R",0,"R",786,"R",367,"R",53,"R",1
100706,07,"R",562,"R",291,"R",271,"R",3,"R",17,"R",31,"R",6,"R",0,"R",374,"R",5,"R",24,"R",102,"R",0,"R",115,"R",361,"R",81,"R",5
100706,09,"R",50,"R",20,"R",30,"R",1,"R",4,"R",6,"R",0,"R",0,"R",27,"R",0,"R",2,"R",10,"Z",0,"Z",0,"R",22,"R",28,"Z",0
100706,10,"R",58,"R",12,"R",46,"R",1,"R",2,"R",10,"R",2,"R",0,"R",37,"R",3,"R",3,"R",0,"Z",0,"R",3,"R",26,"R",28,"R",1
100724,05,"R",650,"R",216,"R",434,"R",2,"R",0,"R",598,"R",8,"R",1,"R",12,"R",6,"R",7,"R",16,"R",0,"R",472,"R",161,"R",17,"R",0
100724,07,"R",144,"R",39,"R",105,"R",0,"R",1,"R",100,"R",1,"R",0,"R",32,"R",1,"R",1,"R",8,"R",0,"R",17,"R",100,"R",27,"R",0
100724,09,"R",32,"R",14,"R",18,"R",0,"R",2,"R",14,"R",0,"R",0,"R",14,"R",0,"R",1,"R",1,"R",0,"R",0,"R",25,"R",7,"R",0
100724,10,"R",2,"R",0,"R",2,"R",0,"R",0,"R",2,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",2,"R",0
100751,05,"R",6683,"R",2857,"R",3826,"R",13,"R",73,"R",632,"R",259,"R",7,"R",5354,"R",167,"R",19,"R",159,"R",5,"R",5907,"R",640,"R",131,"R",0
100751,07,"R",1652,"R",670,"R",982,"R",7,"R",14,"R",196,"R",48,"R",2,"R",1232,"R",36,"R",19,"R",98,"R",0,"R",673,"R",767,"R",212,"R",0
100751,09,"R",428,"R",201,"R",227,"R",3,"R",15,"R",54,"R",22,"R",0,"R",261,"R",11,"R",6,"R",56,"R",0,"R",51,"R",278,"R",99,"R",0
100751,10,"R",22,"R",6,"R",16,"R",0,"R",0,"R",4,"R",0,"R",0,"R",18,"R",0,"R",0,"R",0,"R",0,"R",0,"R",15,"R",7,"R",0
100760,01,"R",49,"R",38,"R",11,"R",0,"R",0,"R",5,"R",0,"R",0,"R",44,"R",0,"R",0,"R",0,"R",0,"R",34,"R",11,"R",4,"R",0
100760,02,"R",89,"R",38,"R",51,"R",0,"R",0,"R",18,"R",0,"R",0,"R",71,"R",0,"R",0,"R",0,"R",0,"R",47,"R",31,"R",11,"R",0
100760,03,"R",204,"R",79,"R",125,"R",0,"R",1,"R",43,"R",0,"R",0,"R",158,"R",1,"R",1,"R",0,"R",0,"R",136,"R",51,"R",17,"R",0
100812,05,"R",759,"R",225,"R",534,"R",14,"R",5,"R",62,"R",10,"R",0,"R",635,"R",15,"R",16,"R",2,"R",0,"R",251,"R",377,"R",131,"R",0
100812,07,"R",20,"R",13,"R",7,"R",0,"R",1,"R",1,"R",0,"R",0,"R",18,"R",0,"R",0,"R",0,"R",0,"R",1,"R",12,"R",7,"R",0
100830,05,"R",738,"R",236,"R",502,"R",2,"R",28,"R",181,"R",4,"Z",0,"R",423,"R",11,"R",7,"R",82,"Z",0,"R",444,"R",248,"R",46,"Z",0
100830,07,"R",262,"R",86,"R",176,"Z",0,"R",3,"R",58,"R",4,"Z",0,"R",121,"R",1,"R",46,"R",29,"Z",0,"R",34,"R",156,"R",72,"Z",0
100830,10,"R",1,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0
100858,01,"R",2,"R",1,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"Z",0,"Z",0
100858,05,"R",4722,"R",2310,"R",2412,"R",37,"R",113,"R",281,"R",138,"R",1,"R",4033,"R",42,"R",23,"R",54,"Z",0,"R",4321,"R",382,"R",18,"R",1
100858,07,"R",1289,"R",660,"R",629,"R",5,"R",27,"R",92,"R",45,"R",2,"R",832,"R",19,"R",6,"R",261,"Z",0,"R",433,"R",721,"R",134,"R",1
100858,09,"R",525,"R",217,"R",308,"R",1,"R",18,"R",27,"R",7,"R",0,"R",354,"R",7,"R",1,"R",110,"Z",0,"R",18,"R",470,"R",37,"Z",0
100858,10,"R",218,"R",130,"R",88,"R",1,"R",6,"R",18,"R",13,"R",1,"R",143,"R",3,"R",2,"R",31,"Z",0,"R",28,"R",125,"R",65,"Z",0
100937,05,"R",277,"R",130,"R",147,"R",4,"R",18,"R",27,"R",7,"R",0,"R",207,"R",2,"R",0,"R",12,"R",0,"R",267,"R",10,"Z",0,"Z",0
101028,01,"R",18,"R",13,"R",5,"R",0,"R",1,"R",4,"R",2,"R",0,"R",10,"R",0,"R",1,"R",0,"R",0,"R",8,"R",8,"R",2,"R",0
101028,02,"R",37,"R",7,"R",30,"R",0,"R",1,"R",6,"R",0,"R",0,"R",28,"R",0,"R",2,"R",0,"R",0,"R",8,"R",26,"R",3,"R",0
101028,03,"R",228,"R",75,"R",153,"R",0,"R",1,"R",87,"R",6,"R",1,"R",124,"R",5,"R",4,"R",0,"R",0,"R",114,"R",88,"R",26,"R",0
101116,03,"R",44,"R",17,"R",27,"R",0,"R",0,"R",18,"R",1,"R",0,"R",24,"R",0,"R",1,"R",0,"R",0,"R",18,"R",25,"R",1,"R",0
101116,05,"R",53,"R",14,"R",39,"R",0,"R",1,"R",42,"R",2,"R",0,"R",8,"R",0,"R",0,"R",0,"R",0,"R",5,"R",35,"R",13,"R",0
101116,07,"R",29,"R",5,"R",24,"R",0,"R",0,"R",21,"R",0,"R",0,"R",8,"R",0,"R",0,"R",0,"R",0,"R",1,"R",12,"R",16,"R",0
101116,09,"R",1,"R",1,"R",0,"R",0,"R",0,"R",1,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",1,"R",0
101143,01,"R",67,"R",46,"R",21,"R",0,"R",1,"R",11,"R",3,"R",1,"R",50,"R",1,"R",0,"R",0,"R",0,"R",25,"R",34,"R",8,"R",0
101143,02,"R",3,"R",0,"R",3,"R",0,"R",0,"R",2,"R",0,"R",0,"R",1,"R",0,"R",0,"R",0,"R",0,"R",1,"R",2,"R",0,"R",0
101143,03,"R",169,"R",81,"R",88,"R",0,"R",3,"R",24,"R",8,"R",0,"R",123,"R",8,"R",3,"R",0,"R",0,"R",92,"R",62,"R",15,"R",0
101161,01,"R",134,"R",121,"R",13,"R",0,"R",3,"R",57,"R",4,"R",0,"R",51,"R",0,"R",18,"R",1,"R",8,"R",62,"R",40,"R",24,"R",0
101161,02,"R",74,"R",12,"R",62,"R",0,"R",1,"R",11,"R",2,"R",0,"R",57,"R",1,"R",2,"R",0,"R",0,"R",40,"R",26,"R",8,"R",0
101161,03,"R",498,"R",190,"R",308,"R",11,"R",5,"R",84,"R",13,"R",0,"R",372,"R",10,"R",2,"R",1,"R",0,"R",345,"R",123,"R",30,"R",0
101189,03,"R",19,"R",3,"R",16,"R",0,"R",0,"R",16,"R",1,"R",0,"R",2,"R",0,"R",0,"R",0,"R",0,"R",5,"R",11,"R",3,"R",0
101189,05,"R",533,"R",160,"R",373,"R",2,"R",0,"R",255,"R",10,"R",0,"R",247,"R",6,"R",3,"R",10,"R",0,"R",175,"R",218,"R",140,"R",0
101189,07,"R",190,"R",63,"R",127,"R",1,"R",3,"R",84,"R",2,"R",0,"R",93,"R",1,"R",4,"R",2,"R",0,"R",10,"R",107,"R",73,"R",0
