UNITID,ADMCON1,ADMCON2,ADMCON3,ADMCON4,ADMCON5,ADMCON6,ADMCON7,ADMCON8,ADMCON9,XAPPLCN,APPLCN,XAPPLCNM,APPLCNM,XAPPLCNW,APPLCNW,XADMSSN,ADMSSN,XADMSSNM,ADMSSNM,XADMSSNW,ADMSSNW,XENRLT,ENRLT,XENRLM,ENRLM,XENRLW,ENRLW,XENRLFT,ENRLFT,XENRLFTM,ENRLFTM,XENRLFTW,ENRLFTW,XENRLPT,ENRLPT,XENRLPTM,ENRLPTM,XENRLPTW,ENRLPTW,XSATNUM,SATNUM,XSATPCT,SATPCT,XACTNUM,ACTNUM,XACTPCT,ACTPCT,XSATVR25,SATVR25,XSATVR75,SATVR75,XSATMT25,SATMT25,XSATMT75,SATMT75,XACTCM25,ACTCM25,XACTCM75,ACTCM75,XACTEN25,ACTEN25,XACTEN75,ACTEN75,XACTMT25,ACTMT25,XACTMT75,ACTMT75 
100654,1,2,1,2,3,2,1,1,3,"R",9579,"R",3160,"R",6419,"R",8789,"R",2828,"R",5961,"R",1710,"R",652,"R",1058,"R",1704,"R",650,"R",1054,"R",6,"R",2,"R",4,"R",592,"R",35,"R",1251,"R",73,"R",430,"R",510,"R",410,"R",500,"R",15,"R",19,"R",14,"R",20,"R",15,"R",18
100663,1,3,1,1,3,3,1,3,3,"R",8298,"R",2957,"R",5341,"R",6112,"R",2279,"R",3833,"R",2346,"R",909,"R",1437,"R",2304,"R",892,"R",1412,"R",42,"R",17,"R",25,"R",312,"R",13,"R",2159,"R",92,"R",560,"R",680,"R",530,"R",685,"R",22,"R",29,"R",22,"R",32,"R",20,"R",27
100706,1,2,1,3,3,2,1,1,3,"R",5295,"R",2894,"R",2401,"R",4372,"R",2500,"R",1872,"R",1497,"R",964,"R",533,"R",1489,"R",960,"R",529,"R",8,"R",4,"R",4,"R",108,"R",7,"R",1380,"R",92,"R",617,"R",720,"R",620,"R",770,"R",25,"R",31,"R",25,"R",34,"R",24,"R",30
100724,1,3,2,3,3,3,1,1,3,"R",6674,"R",2051,"R",4428,"R",6467,"R",1963,"R",4320,"R",1023,"R",382,"R",641,"R",1004,"R",371,"R",633,"R",19,"R",11,"R",8,"R",275,"R",27,"R",819,"R",80,"R",450,"R",510,"R",430,"R",510,"R",15,"R",19,"R",14,"R",20,"R",15,"R",17
100751,1,2,1,1,3,3,1,1,3,"R",38505,"R",14709,"R",23796,"R",31835,"R",12230,"R",19605,"R",6764,"R",2888,"R",3876,"R",6734,"R",2879,"R",3855,"R",30,"R",9,"R",21,"R",1808,"R",27,"R",4892,"R",72,"R",550,"R",660,"R",530,"R",680,"R",23,"R",31,"R",23,"R",33,"R",21,"R",29
100830,1,2,1,3,3,3,1,1,3,"R",4109,"R",1442,"R",2667,"R",3716,"R",1306,"R",2410,"R",626,"R",238,"R",388,"R",602,"R",228,"R",374,"R",24,"R",10,"R",14,"R",39,"R",6,"R",530,"R",85,"R",470,"R",570,"R",450,"R",580,"R",19,"R",23,"R",19,"R",24,"R",16,"R",22
100858,1,2,1,1,2,3,1,1,3,"R",20205,"R",8572,"R",11633,"R",16300,"R",6997,"R",9303,"R",4808,"R",2330,"R",2478,"R",4761,"R",2305,"R",2456,"R",47,"R",25,"R",22,"R",866,"R",18,"R",3911,"R",81,"R",580,"R",650,"R",570,"R",670,"R",25,"R",31,"R",25,"R",33,"R",23,"R",28
100937,1,5,5,3,5,3,5,5,3,"R",3384,"R",1420,"R",1964,"R",1821,"R",842,"R",979,"R",332,"R",167,"R",165,"R",332,"R",167,"R",165,"A",,"A",,"A",,"R",58,"R",17,"R",246,"R",74,"R",570,"R",660,"R",540,"R",650,"R",22,"R",29,"R",22,"R",30,"R",20,"R",27
101189,1,2,1,3,2,3,1,2,3,"R",1209,"R",572,"R",637,"R",947,"R",492,"R",455,"R",276,"R",159,"R",117,"R",259,"R",148,"R",111,"R",17,"R",11,"R",6,"R",18,"R",7,"R",222,"R",80,"R",500,"R",590,"R",500,"R",570,"R",18,"R",23,"R",17,"R",23,"R",16,"R",22
101365,5,3,1,3,3,3,2,2,1,"R",69,"R",29,"R",40,"R",54,"R",24,"R",30,"R",41,"R",17,"R",24,"R",11,"R",0,"R",11,"R",30,"R",17,"R",13,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
