UNITID,ADMCON1,ADMCON2,ADMCON3,ADMCON4,ADMCON5,ADMCON6,ADMCON7,ADMCON8,ADMCON9,XAPPLCN,APPLCN,XAPPLCNM,APPLCNM,XAPPLCNW,APPLCNW,XADMSSN,ADMSSN,XADMSSNM,ADMSSNM,XADMSSNW,ADMSSNW,XENRLT,ENRLT,XENRLM,ENRLM,XENRLW,ENRLW,XENRLFT,ENRLFT,XENRLFTM,ENRLFTM,XENRLFTW,ENRLFTW,XENRLPT,ENRLPT,XENRLPTM,ENRLPTM,XENRLPTW,ENRLPTW,XSATNUM,SATNUM,XSATPCT,SATPCT,XACTNUM,ACTNUM,XACTPCT,ACTPCT,XSATVR25,SATVR25,XSATVR75,SATVR75,XSATMT25,SATMT25,XSATMT75,SATMT75,XACTCM25,ACTCM25,XACTCM75,ACTCM75,XACTEN25,ACTEN25,XACTEN75,ACTEN75,XACTMT25,ACTMT25,XACTMT75,ACTMT75 
100654,1,2,1,2,3,2,1,1,3,"R",8610,"R",3066,"R",5544,"R",7772,"R",2704,"R",5068,"R",1294,"R",518,"R",776,"R",1288,"R",515,"R",773,"R",6,"R",3,"R",3,"R",21,"R",1,"R",1270,"R",88,"R",365,"R",485,"R",360,"R",495,"R",16,"R",19,"R",14,"R",20,"R",15,"R",18
100663,1,3,1,1,3,3,1,3,3,"R",7555,"R",2729,"R",4826,"R",6936,"R",2487,"R",4449,"R",2299,"R",861,"R",1438,"R",2228,"R",833,"R",1395,"R",71,"R",28,"R",43,"R",15,"R",1,"R",2093,"R",94,"R",440,"R",630,"R",550,"R",740,"R",21,"R",28,"R",22,"R",31,"R",21,"R",26
100706,1,2,1,1,3,2,1,1,3,"R",4454,"R",2466,"R",1988,"R",3618,"R",2082,"R",1536,"R",1352,"R",867,"R",485,"R",1341,"R",860,"R",481,"R",11,"R",7,"R",4,"R",29,"R",2,"R",1292,"R",96,"R",550,"R",660,"R",530,"R",670,"R",25,"R",31,"R",25,"R",33,"R",24,"R",29
100724,1,3,2,3,3,3,1,1,3,"R",6842,"R",2136,"R",4515,"R",6696,"R",2071,"R",4438,"R",967,"R",357,"R",610,"R",951,"R",349,"R",602,"R",16,"R",8,"R",8,"R",173,"R",18,"R",826,"R",85,"R",380,"R",485,"R",375,"R",481,"R",16,"R",20,"R",15,"R",19,"R",14,"R",19
100751,1,2,1,1,3,3,1,1,3,"R",38129,"R",14705,"R",23424,"R",20321,"R",7992,"R",12329,"R",7407,"R",3167,"R",4240,"R",7385,"R",3157,"R",4228,"R",22,"R",10,"R",12,"R",1397,"R",19,"R",5981,"R",81,"R",530,"R",640,"R",520,"R",640,"R",23,"R",32,"R",23,"R",33,"R",21,"R",29
100830,1,2,1,3,3,3,1,1,3,"R",2454,"R",823,"R",1631,"R",2022,"R",697,"R",1325,"R",652,"R",258,"R",394,"R",627,"R",247,"R",380,"R",25,"R",11,"R",14,"R",26,"R",4,"R",563,"R",86,"R",485,"R",573,"R",485,"R",553,"R",19,"R",24,"R",19,"R",24,"R",17,"R",22
100858,1,2,1,1,2,3,1,1,3,"R",18072,"R",7841,"R",10231,"R",15168,"R",6576,"R",8592,"R",4836,"R",2261,"R",2575,"R",4771,"R",2216,"R",2555,"R",65,"R",45,"R",20,"R",572,"R",12,"R",4215,"R",87,"R",570,"R",650,"R",560,"R",660,"R",24,"R",30,"R",24,"R",32,"R",23,"R",28
100937,1,1,1,3,1,3,1,1,3,"R",2559,"R",1098,"R",1461,"R",1583,"R",726,"R",857,"R",349,"R",183,"R",166,"R",349,"R",183,"R",166,"A",,"A",,"A",,"R",65,"R",18,"R",296,"R",83,"R",520,"R",630,"R",510,"R",630,"R",23,"R",29,"R",23,"R",31,"R",22,"R",27
101189,1,2,1,3,2,3,1,2,3,"R",2335,"R",878,"R",1457,"R",1191,"R",484,"R",707,"R",333,"R",162,"R",171,"R",311,"R",153,"R",158,"R",22,"R",9,"R",13,"R",36,"R",11,"R",266,"R",80,"R",460,"R",590,"R",460,"R",560,"R",18,"R",22,"R",17,"R",23,"R",16,"R",22
101365,3,3,1,3,3,3,2,2,1,"R",107,"R",36,"R",71,"R",81,"R",34,"R",47,"R",51,"R",28,"R",23,"R",8,"R",1,"R",7,"R",43,"R",27,"R",16,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
