UNITID,AWLEVELC,XCSTOTLT,CSTOTLT,XCSTOTLM,CSTOTLM,XCSTOTLW,CSTOTLW,XCSAIANT,CSAIANT,XCSASIAT,CSASIAT,XCSBKAAT,CSBKAAT,XCSHISPT,CSHISPT,XCSNHPIT,CSNHPIT,XCSWHITT,CSWHITT,XCS2MORT,CS2MORT,XCSUNKNT,CSUNKNT,XCSNRALT,CSNRALT,XCSUND18,CSUND18,XCS18_24,CS18_24,XCS25_39,CS25_39,XCSABV40,CSABV40,XCSUNKN,CSUNKN  
100654,05,"R",453,"R",193,"R",260,"R",3,"Z",0,"R",421,"R",2,"Z",0,"R",20,"Z",0,"R",3,"R",4,"Z",0,"R",287,"R",154,"R",12,"Z",0
100654,07,"R",351,"R",93,"R",258,"R",1,"R",3,"R",271,"R",6,"Z",0,"R",57,"Z",0,"R",2,"R",11,"Z",0,"R",24,"R",279,"R",44,"R",4
100654,09,"R",9,"R",6,"R",3,"Z",0,"R",2,"R",3,"Z",0,"Z",0,"R",3,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"R",7,"R",2,"Z",0
100654,10,"R",2,"Z",0,"R",2,"Z",0,"Z",0,"R",2,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"Z",0,"Z",0
100663,02,"R",43,"R",10,"R",33,"R",0,"R",2,"R",11,"R",5,"R",0,"R",23,"R",0,"R",2,"R",0,"R",0,"R",30,"R",11,"R",2,"R",0
100663,05,"R",2360,"R",933,"R",1427,"R",4,"R",147,"R",532,"R",77,"R",3,"R",1428,"R",96,"R",21,"R",52,"R",0,"R",1601,"R",633,"R",126,"R",0
100663,07,"R",1789,"R",584,"R",1205,"R",1,"R",74,"R",257,"R",53,"R",1,"R",1231,"R",40,"R",15,"R",117,"R",0,"R",258,"R",1235,"R",296,"R",0
100663,09,"R",519,"R",235,"R",284,"R",3,"R",42,"R",51,"R",12,"R",1,"R",351,"R",13,"R",11,"R",35,"R",0,"R",3,"R",446,"R",70,"R",0
100663,10,"R",171,"R",43,"R",128,"R",2,"R",8,"R",37,"R",9,"R",0,"R",101,"R",4,"R",2,"R",8,"R",0,"R",14,"R",96,"R",61,"R",0
100690,03,"R",8,"R",4,"R",4,"Z",0,"Z",0,"R",3,"R",2,"Z",0,"R",2,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"R",5,"R",3,"Z",0
100690,05,"R",55,"R",26,"R",29,"Z",0,"Z",0,"R",20,"R",4,"R",1,"R",28,"Z",0,"R",2,"Z",0,"Z",0,"R",2,"R",25,"R",28,"Z",0
100690,07,"R",83,"R",26,"R",57,"Z",0,"Z",0,"R",40,"R",6,"R",2,"R",31,"Z",0,"R",4,"Z",0,"Z",0,"R",1,"R",39,"R",43,"Z",0
