UNITID,ADMCON1,ADMCON2,ADMCON3,ADMCON4,ADMCON5,ADMCON6,ADMCON7,ADMCON8,ADMCON9,XAPPLCN,APPLCN,XAPPLCNM,APPLCNM,XAPPLCNW,APPLCNW,XADMSSN,ADMSSN,XADMSSNM,ADMSSNM,XADMSSNW,ADMSSNW,XENRLT,ENRLT,XENRLM,ENRLM,XENRLW,ENRLW,XENRLFT,ENRLFT,XENRLFTM,ENRLFTM,XENRLFTW,ENRLFTW,XENRLPT,ENRLPT,XENRLPTM,ENRLPTM,XENRLPTW,ENRLPTW,XSATNUM,SATNUM,XSATPCT,SATPCT,XACTNUM,ACTNUM,XACTPCT,ACTPCT,XSATVR25,SATVR25,XSATVR75,SATVR75,XSATMT25,SATMT25,XSATMT75,SATMT75,XACTCM25,ACTCM25,XACTCM75,ACTCM75,XACTEN25,ACTEN25,XACTEN75,ACTEN75,XACTMT25,ACTMT25,XACTMT75,ACTMT75 
100654,1,2,1,2,3,2,1,1,3,"R",9855,"R",3394,"R",6461,"R",8835,"R",2947,"R",5888,"R",1664,"R",676,"R",988,"R",1622,"R",660,"R",962,"R",42,"R",16,"R",26,"R",22,"R",1,"R",1202,"R",72,"R",430,"R",520,"R",410,"R",500,"R",15,"R",20,"R",14,"R",20,"R",15,"R",18
100663,1,3,1,1,3,3,1,3,3,"R",10391,"R",3803,"R",6588,"R",8375,"R",3002,"R",5373,"R",2154,"R",765,"R",1389,"R",2102,"R",738,"R",1364,"R",52,"R",27,"R",25,"R",302,"R",14,"R",2120,"R",98,"R",560,"R",668,"R",530,"R",660,"R",22,"R",30,"R",22,"R",33,"R",20,"R",27
100706,1,2,1,3,3,2,1,1,3,"R",5793,"R",3057,"R",2736,"R",4467,"R",2509,"R",1958,"R",1345,"R",847,"R",498,"R",1328,"R",840,"R",488,"R",17,"R",7,"R",10,"R",90,"R",7,"R",1248,"R",93,"R",590,"R",700,"R",580,"R",730,"R",24,"R",31,"R",24,"R",33,"R",23,"R",29
100724,1,3,2,3,3,3,1,1,3,"R",7027,"R",2226,"R",4763,"R",6948,"R",2188,"R",4724,"R",975,"R",347,"R",628,"R",926,"R",322,"R",604,"R",49,"R",25,"R",24,"R",293,"R",30,"R",688,"R",71,"R",438,"R",531,"R",406,"R",518,"R",14,"R",20,"R",14,"R",20,"R",14,"R",20
100751,1,2,1,1,3,3,1,1,3,"R",39560,"R",14907,"R",24653,"R",31804,"R",12112,"R",19692,"R",6507,"R",2752,"R",3755,"R",6466,"R",2728,"R",3738,"R",41,"R",24,"R",17,"R",1492,"R",23,"R",4986,"R",77,"R",540,"R",660,"R",530,"R",670,"R",23,"R",31,"R",23,"R",33,"R",21,"R",29
100830,1,2,1,3,3,3,1,1,3,"R",4606,"R",1553,"R",3053,"R",4401,"R",1473,"R",2928,"R",674,"R",223,"R",451,"R",641,"R",203,"R",438,"R",33,"R",20,"R",13,"R",35,"R",5,"R",561,"R",83,"R",480,"R",575,"R",430,"R",515,"R",18,"R",23,"R",17,"R",24,"R",16,"R",22
100858,1,2,1,1,2,3,1,1,3,"R",17946,"R",7878,"R",10068,"R",15266,"R",6731,"R",8535,"R",4914,"R",2377,"R",2537,"R",4869,"R",2352,"R",2517,"R",45,"R",25,"R",20,"R",841,"R",17,"R",4062,"R",83,"R",590,"R",650,"R",570,"R",670,"R",25,"R",31,"R",24,"R",33,"R",23,"R",29
100937,1,5,5,2,5,5,5,5,3,"R",2460,"R",1069,"R",1391,"R",1487,"R",684,"R",803,"R",256,"R",132,"R",124,"R",256,"R",132,"R",124,"A",,"A",,"A",,"R",37,"R",14,"R",196,"R",77,"R",520,"R",610,"R",500,"R",580,"R",22,"R",28,"R",22,"R",30,"R",20,"R",27
101189,1,2,1,3,2,3,1,2,3,"R",1572,"R",743,"R",828,"R",1191,"R",600,"R",591,"R",288,"R",169,"R",119,"R",277,"R",164,"R",113,"R",11,"R",5,"R",6,"R",27,"R",9,"R",225,"R",78,"R",515,"R",590,"R",505,"R",585,"R",18,"R",23,"R",17,"R",24,"R",16,"R",22
101365,2,3,2,3,3,3,3,2,1,"R",177,"R",71,"R",106,"R",162,"R",65,"R",97,"R",102,"R",41,"R",61,"R",16,"R",3,"R",13,"R",86,"R",38,"R",48,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
101435,1,2,1,2,2,2,1,1,3,"R",2129,"R",1247,"R",882,"R",1158,"R",664,"R",494,"R",220,"R",126,"R",94,"R",220,"R",126,"R",94,"R",0,"R",0,"R",0,"R",38,"R",17,"R",200,"R",91,"R",503,"R",590,"R",500,"R",568,"R",19,"R",24,"R",19,"R",25,"R",17,"R",24
101453,5,3,1,3,1,3,1,1,3,"R",3,"R",2,"R",1,"R",2,"R",2,"R",0,"R",2,"R",2,"A",,"R",2,"R",2,"A",,"R",0,"R",0,"A",,"R",0,"R",0,"R",1,"R",50,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
101480,1,3,1,3,3,3,1,1,3,"R",10932,"R",3977,"R",6955,"R",6963,"R",2573,"R",4390,"R",1313,"R",532,"R",781,"R",1290,"R",524,"R",766,"R",23,"R",8,"R",15,"R",7,"R",1,"R",1174,"R",89,"R",420,"R",530,"R",420,"R",540,"R",18,"R",24,"R",16,"R",23,"R",17,"R",25
101541,1,2,1,2,2,3,1,1,3,"R",432,"Z",0,"R",432,"R",244,"A",,"R",244,"R",73,"A",,"R",73,"R",73,"A",,"R",73,"Z",0,"A",,"R",0,"R",2,"R",7,"R",70,"R",96,"R",440,"R",580,"R",530,"R",770,"R",18,"R",23,"R",16,"R",23,"R",15,"R",24
101587,2,3,1,2,3,3,1,1,3,"R",1834,"R",631,"R",1203,"R",1708,"R",560,"R",1148,"R",257,"R",109,"R",148,"R",249,"R",106,"R",143,"R",8,"R",3,"R",5,"R",0,"R",0,"R",233,"R",100,"A",,"A",,"A",,"A",,"R",17,"R",22,"R",16,"R",21,"R",16,"R",23
101648,1,3,1,5,3,3,1,1,3,"R",1000,"R",606,"R",394,"R",575,"R",394,"R",181,"C",255,"C",189,"R",66,"C",255,"C",189,"R",66,"A",,"A",,"A",,"R",109,"R",43,"R",183,"R",72,"R",560,"R",650,"R",540,"R",650,"R",18,"R",26,"R",17,"R",26,"R",18,"R",26
101693,1,3,5,3,3,3,2,1,3,"R",2037,"R",619,"R",1418,"R",1356,"R",435,"R",921,"R",250,"R",87,"R",163,"R",249,"R",87,"R",162,"R",1,"R",0,"R",1,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
101709,1,2,1,2,3,3,1,1,3,"R",4954,"R",1612,"R",3342,"R",2998,"R",988,"R",2010,"R",471,"R",176,"R",295,"R",455,"R",171,"R",284,"R",16,"R",5,"R",11,"R",59,"R",13,"R",417,"R",89,"R",500,"R",600,"R",490,"R",615,"R",19,"R",26,"R",20,"R",27,"R",17,"R",24
101879,1,2,1,2,3,3,2,1,3,"R",2739,"R",943,"R",1796,"R",2264,"R",792,"R",1472,"R",924,"R",340,"R",584,"R",898,"R",330,"R",568,"R",26,"R",10,"R",16,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
101912,1,3,1,2,2,3,2,2,3,"R",1135,"R",375,"R",760,"R",1008,"R",364,"R",644,"R",303,"R",119,"R",184,"R",303,"R",119,"R",184,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
