UNITID,AWLEVELC,XCSTOTLT,CSTOTLT,XCSTOTLM,CSTOTLM,XCSTOTLW,CSTOTLW,XCSAIANT,CSAIANT,XCSASIAT,CSASIAT,XCSBKAAT,CSBKAAT,XCSHISPT,CSHISPT,XCSNHPIT,CSNHPIT,XCSWHITT,CSWHITT,XCS2MORT,CS2MORT,XCSUNKNT,CSUNKNT,XCSNRALT,CSNRALT,XCSUND18,CSUND18,XCS18_24,CS18_24,XCS25_39,CS25_39,XCSABV40,CSABV40,XCSUNKN,CSUNKN  
100654,05,"R",585,"R",210,"R",375,"R",0,"R",3,"R",524,"R",6,"R",2,"R",12,"R",5,"R",25,"R",8,"R",0,"R",473,"R",106,"R",6,"R",0
100654,07,"R",300,"R",78,"R",222,"R",0,"R",1,"R",226,"R",3,"R",0,"R",27,"R",2,"R",31,"R",10,"R",0,"R",49,"R",218,"R",33,"R",0
100654,09,"R",11,"R",6,"R",5,"R",0,"R",1,"R",7,"R",0,"R",0,"R",2,"R",0,"R",0,"R",1,"R",0,"R",0,"R",4,"R",7,"R",0
100663,02,"R",74,"R",31,"R",43,"R",1,"R",4,"R",4,"R",2,"R",0,"R",60,"R",0,"R",0,"R",3,"R",0,"R",36,"R",28,"R",10,"R",0
100663,05,"R",2639,"R",958,"R",1681,"R",9,"R",189,"R",582,"R",127,"R",0,"R",1564,"R",106,"R",12,"R",50,"R",0,"R",1837,"R",653,"R",149,"R",0
100663,07,"R",2314,"R",780,"R",1534,"R",1,"R",92,"R",371,"R",60,"R",3,"R",1461,"R",42,"R",55,"R",229,"R",0,"R",370,"R",1565,"R",379,"R",0
100663,09,"R",618,"R",253,"R",365,"R",1,"R",58,"R",43,"R",17,"R",0,"R",430,"R",20,"R",9,"R",40,"R",0,"R",5,"R",548,"R",65,"R",0
100663,10,"R",203,"R",40,"R",163,"R",0,"R",9,"R",51,"R",4,"R",0,"R",122,"R",3,"R",4,"R",10,"R",0,"R",12,"R",111,"R",80,"R",0
100690,03,"R",39,"R",9,"R",30,"Z",0,"Z",0,"R",31,"Z",0,"Z",0,"R",8,"Z",0,"Z",0,"Z",0,"Z",0,"R",3,"R",25,"R",11,"Z",0
100690,05,"R",27,"R",12,"R",15,"Z",0,"R",1,"R",11,"R",1,"Z",0,"R",12,"Z",0,"R",2,"Z",0,"Z",0,"R",3,"R",15,"R",9,"Z",0
100690,07,"R",58,"R",22,"R",36,"Z",0,"Z",0,"R",35,"Z",0,"R",2,"R",19,"Z",0,"R",2,"Z",0,"Z",0,"Z",0,"R",20,"R",38,"Z",0
100690,09,"R",4,"R",3,"R",1,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"R",3,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",4,"Z",0
100706,05,"R",1451,"R",736,"R",715,"R",23,"R",57,"R",98,"R",68,"R",2,"R",1087,"R",33,"R",48,"R",35,"R",0,"R",1072,"R",318,"R",61,"R",0
